ORF,Name,Allele,Strain_ID,Plate,Row,Column
YDL003W,MCD1,mcd1-5001,tsa1229,4,5,4
YMR043W,MCM1,mcm1-5001,tsa1134,4,5,5
YDR331W,GPI8,gpi8-5001,tsa1230,4,5,6
YHR196W,UTP9,utp9-5001,tsa1135,4,5,7
YKR022C,NTR2,ntr2-5001,tsa1231,4,5,8
YHR118C,ORC6,orc6-5001,tsa1136,4,5,9
YPR085C,ASA1,asa1-5001,tsa1232,4,5,10
YGR005C,TFG2,tfg2-5001,tsa1137,4,5,11
YPR088C,SRP54,srp54-5001,tsa1233,4,5,12
YER094C,PUP3,pup3-5001,tsa1138,4,5,13
YDL148C,NOP14,nop14-5001,tsa1234,4,5,14
YFR050C,PRE4,pre4-5001,tsa1139,4,5,15
YDR240C,SNU56,snu56-5001,tsa1235,4,5,16
YLR197W,NOP56,nop56-5001,tsa1140,4,5,17
YDR416W,SYF1,syf1-5001,tsa1236,4,5,18
YLR186W,EMG1,emg1-5001,tsa1141,4,5,19
YPR082C,DIB1,dib1-5001,tsa1237,4,5,20
YLR196W,PWP1,pwp1-5001,tsa1142,4,5,21
YPR190C,RPC82,rpc82-5001,tsa1238,4,5,22
YLR115W,CFT2,cft2-5001,tsa1143,4,5,23
YDR081C,PDC2,pdc2-5001,tsa1239,4,5,24
BLANK,BLANK,,,4,6,1
BLANK,BLANK,,,4,6,2
BLANK,BLANK,,,4,6,3
BLANK,BLANK,,,4,6,4
BLANK,BLANK,,,4,6,5
BLANK,BLANK,,,4,6,6
BLANK,BLANK,,,4,6,7
BLANK,BLANK,,,4,6,8
BLANK,BLANK,,,4,6,9
BLANK,BLANK,,,4,6,10
BLANK,BLANK,,,4,6,11
BLANK,BLANK,,,4,6,12
BLANK,BLANK,,,4,6,13
BLANK,BLANK,,,4,6,14
BLANK,BLANK,,,4,6,15
BLANK,BLANK,,,4,6,16
BLANK,BLANK,,,4,6,17
BLANK,BLANK,,,4,6,18
BLANK,BLANK,,,4,6,19
BLANK,BLANK,,,4,6,20
BLANK,BLANK,,,4,6,21
BLANK,BLANK,,,4,6,22
BLANK,BLANK,,,4,6,23
BLANK,BLANK,,,4,6,24
YLR116W,MSL5,msl5-5001,tsa1144,4,7,1
YGR047C,TFC4,tfc4-5001,tsa1240,4,7,2
YLR033W,RSC58,rsc58-5001,tsa1145,4,7,3
YGR094W,VAS1,vas1-5001,tsa1241,4,7,4
YDL097C,RPN6,rpn6-5001,tsa1146,4,7,5
YDR398W,UTP5,utp5-5001,tsa1242,4,7,6
YGR253C,PUP2,pup2-5001,tsa1147,4,7,7
YBR004C,GPI18,gpi18-5001,tsa1243,4,7,8
YLR276C,DBP9,dbp9-5001,tsa1148,4,7,9
YFL017C,GNA1,gna1-5001,tsa1244,4,7,10
YLR291C,GCD7,gcd7-5001,tsa1149,4,7,11
YDR236C,FMN1,fmn1-5001,tsa1245,4,7,12
YLR316C,TAD3,tad3-5001,tsa1150,4,7,13
YMR093W,UTP15,utp15-5001,tsa1246,4,7,14
YLR317W,,ylr317w-5001,tsa1151,4,7,15
YPR162C,ORC4,orc4-5001,tsa1247,4,7,16
YLR340W,RPP0,rpp0-5001,tsa1152,4,7,17
YJR141W,IPA1,ipa1-5001,tsa1248,4,7,18
YOL038W,PRE6,pre6-5001,tsa1153,4,7,19
YOR362C,PRE10,pre10-5001,tsa1249,4,7,20
YOL069W,NUF2,nuf2-5001,tsa1154,4,7,21
YLR222C,UTP13,utp13-5001,tsa1250,4,7,22
YKL035W,UGP1,ugp1-5001,tsa1155,4,7,23
YPR161C,SGV1,sgv1-5001,tsa1251,4,7,24
BLANK,BLANK,,,4,8,1
BLANK,BLANK,,,4,8,2
BLANK,BLANK,,,4,8,3
BLANK,BLANK,,,4,8,4
BLANK,BLANK,,,4,8,5
BLANK,BLANK,,,4,8,6
BLANK,BLANK,,,4,8,7
BLANK,BLANK,,,4,8,8
BLANK,BLANK,,,4,8,9
BLANK,BLANK,,,4,8,10
BLANK,BLANK,,,4,8,11
BLANK,BLANK,,,4,8,12
BLANK,BLANK,,,4,8,13
BLANK,BLANK,,,4,8,14
BLANK,BLANK,,,4,8,15
BLANK,BLANK,,,4,8,16
BLANK,BLANK,,,4,8,17
